1767437082.2251074,PixHawk,Sent Mode Set to LAND
1767437084.2254348,PixHawk,Sent Mode Set to LAND
1767437086.2257447,PixHawk,Sent Mode Set to LAND
1767437087.2259374,PixHawk,LAND mode confirmed
1767437099.1656423,PixHawk,"Heartbeat from system 1, component 0"
1767437104.1669457,PixHawk,Sent Mode Set to GUIDED
1767437104.1696086,PixHawk,Fetched heartbeat for armable check
1767437104.1772163,PixHawk,"Drone Armed
"
1767437104.1803613,PixHawk,"Takeoff Command Accepted. Climbing...
"
1767437112.2261138,PixHawk,"Reached target altitude: 2.953m
"
1767437146.2296999,PixHawk,Sent Mode Set to LAND
1767437148.230055,PixHawk,Sent Mode Set to LAND
1767437149.2302465,PixHawk,LAND mode confirmed
1767437218.1948721,PixHawk,"Heartbeat from system 1, component 0"
1767437223.196309,PixHawk,Sent Mode Set to GUIDED
1767437223.197355,PixHawk,Fetched heartbeat for armable check
1767437223.2042282,PixHawk,"Drone Armed
"
1767437223.2105362,PixHawk,"Takeoff Command Accepted. Climbing...
"
1767437230.103914,PixHawk,"Reached target altitude: 2.973m
"
1767437347.875175,PixHawk,Sent Mode Set to LAND
1767437349.8754873,PixHawk,Sent Mode Set to LAND
1767437350.87563,PixHawk,LAND mode confirmed
1767437363.1229734,PixHawk,"Heartbeat from system 1, component 0"
1767437368.125196,PixHawk,Sent Mode Set to GUIDED
1767437369.123396,PixHawk,Fetched heartbeat for armable check
1767437369.1345048,PixHawk,"Drone Armed
"
1767437369.141172,PixHawk,"Takeoff Command Accepted. Climbing...
"
1767437377.1806233,PixHawk,"Reached target altitude: 2.903m
"
1767437435.1866853,PixHawk,Sent Mode Set to LAND
1767437437.187146,PixHawk,Sent Mode Set to LAND
1767437438.187393,PixHawk,LAND mode confirmed
1767437518.1292758,PixHawk,"Heartbeat from system 1, component 0"
1767437523.1302583,PixHawk,Sent Mode Set to GUIDED
1767437523.1329582,PixHawk,Fetched heartbeat for armable check
1767437523.1381793,PixHawk,"Drone Armed
"
1767437523.1441875,PixHawk,"Takeoff Command Accepted. Climbing...
"
1767437532.6908872,PixHawk,"Reached target altitude: 2.879m
"
1767437611.6998787,PixHawk,Sent Mode Set to LAND
1767437613.7002048,PixHawk,Sent Mode Set to LAND
1767437614.700392,PixHawk,LAND mode confirmed
1767437962.1542666,PixHawk,"Heartbeat from system 1, component 0"
1767437964.0740182,PixHawk,Sent Mode Set to LAND
1767437966.0743303,PixHawk,Sent Mode Set to LAND
1767439618.244757,PixHawk,"Heartbeat from system 1, component 0"
1767439623.2462769,PixHawk,Sent Mode Set to GUIDED
1767439623.248721,PixHawk,Fetched heartbeat for armable check
1767439623.253612,PixHawk,"Drone Armed
"
1767439623.2594116,PixHawk,"Takeoff Command Accepted. Climbing...
"
1767439632.8056507,PixHawk,"Reached target altitude: 2.904m
"
1767439710.81377,PixHawk,Sent Mode Set to LAND
1767439712.8142025,PixHawk,Sent Mode Set to LAND
1767439714.8145273,PixHawk,Sent Mode Set to LAND
1767439716.8147712,PixHawk,CRITICAL: Failed to switch to LAND mode
1767439881.2563627,PixHawk,"Heartbeat from system 1, component 0"
1767439886.2574072,PixHawk,Sent Mode Set to GUIDED
1767439886.261678,PixHawk,Fetched heartbeat for armable check
1767439886.2670772,PixHawk,"Drone Armed
"
1767439886.2728724,PixHawk,"Takeoff Command Accepted. Climbing...
"
1767439896.3145332,PixHawk,"Reached target altitude: 2.946m
"
1767439972.5363226,PixHawk,Sent Mode Set to LAND
1767439974.5367138,PixHawk,Sent Mode Set to LAND
1767439975.536918,PixHawk,LAND mode confirmed
1767440013.26693,PixHawk,"Heartbeat from system 1, component 0"
1767440018.2684531,PixHawk,Sent Mode Set to GUIDED
1767440018.269975,PixHawk,Fetched heartbeat for armable check
1767440018.2725472,PixHawk,"Drone Armed
"
1767440108.663959,PixHawk,Sent Mode Set to LAND
1767440109.6641614,PixHawk,LAND mode confirmed
1767440161.3768065,PixHawk,Sent Mode Set to LAND
1767440162.3769536,PixHawk,LAND mode confirmed
1767440165.2456071,PixHawk,"Heartbeat from system 1, component 0"
1767440170.246724,PixHawk,Sent Mode Set to GUIDED
1767440170.2474015,PixHawk,Fetched heartbeat for armable check
1767440170.2497385,PixHawk,"Drone Armed
"
1767440170.2546213,PixHawk,"Takeoff Command Accepted. Climbing...
"
1767440173.7576952,PixHawk,"Reached target altitude: 3.001m
"
1767440196.7746909,PixHawk,Sent Mode Set to LAND
1767440198.7751079,PixHawk,Sent Mode Set to LAND
1767440200.7754455,PixHawk,Sent Mode Set to LAND
1767440202.7756724,PixHawk,CRITICAL: Failed to switch to LAND mode
